id,eng,afr,zul,xho,ssw,nbl,tsn,nso,sot,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_multilingual_ict_dictionary_0,aerial,lugdraad / antenne,usiba / uthi,isitsali-maza / ieriyali,sibambamagagasi / i-eriyeli,isikhambisimaza / isikhambisimdumo,eriele / lenakaphetisi,eriale / eriele / moteka,eriele / lesiba,eriaḽa / luṱhaṱhe,eriyani,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_1,airmail,lugpos,ukuposa ngendiza,uthumelo mbalelwano ngezomoya / iposi yomoya,liposi lemoya / liposimoya,iposommoya,posofofane,poso ka sefofane,poso ka sefofane / poso ya moyeng,poswo ya muyani / poswonyendedzwamuyani,poso-hahiso,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_2,antenna,antenne,inzwangomoya,ucingo lwesitsali-maza / ucingo lwe-eriyali,sitfumelimagagasi / sihoshi / sichumamagagasi / i-eriyeli / i-anthena,isikhambisimdumo / isikhambisimaza,lenakaphetisi / anthena,lenakana / anthena,eriala / sephopholetsi / lesiba,eriaḽa / luṱhaṱhe,eriyani,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_3,apparatus,apparaat / toestel,insizakusebenza,izixhobo,tisetjentiswa,iinsetjenziswa,sediriswa,setlabakelo / sedirišwa / setlabelo / aphareithase,sesebediswa,tshishumiswa,xigotso,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_4,application,toepassing / applikasie,uhlelokusebenza,inkqubo yekhompyutha,luhlelokwenta,ikghonakalisohlelo / ihlelongqondomtjhini,lenaanetiriswa,lenaneotirišo,lenaneo la khompyutha / motlaotutswe,apḽikhesheni,nongonoko-nkongoma,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_5,audio-visual,oudiovisuele toerusting / oudiovisuele apparaat,ukuzwakubona / ukuzwakubuka,umabonwa-eviwa,malalelwabukwa,umalalelwabukelwa,sedirisokutlopono,go kwewa le go bonwa,sesebediswa sa kutlo le pono / kutlopono,mbonalopfiwa,xivonwa-twiwa,noun,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_6,audio-visual,oudiovisueel,-kuzwakubona / -kuzwakubuka,ebonwa iviwa,-lalelwabukwa,-lalelabukelwa,-kutlopono,ya go kwewa le go bonwa,- kutlo le pono / kutlopono,mbonalopfiwa,xo twiwa no voniwa,adjective,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_7,bandwidth,bandwydte,umkhawulokwamukela / umkhawulokudonsa,umthamo wothungelo-lwazi / amandla okuqhagamshelanisa,umtsamo / ummumatfo,umkhawulelommumatho,kgonothebolo,bonabophihlelo,matla a phetisetso,vhuphara ha vhurathisi,mpimo-hungu,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_8,bit,bis,isimumathalwazi esincu / ibhithi,isuntswana lolwimi lwekhompyutha,mantjikane / ibhithi,ibhithi / isikhadlanammumatho,karolwanatlhaka,tsekana ya paete / paetana,biti,bithi,nhlayo-rito / hlaya-rito,,,,,,,,,,,,,,,,,,,,,,hi xikhompyuta
dsac_multilingual_ict_dictionary_9,broadcast,uitsaai / uitsend,-sakaza,ukusasaza,sakata,rhatjha,-gasa,gaša / hlagiša moyeng,hasa,-hasha,haxa,verb,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_10,broadcasting service,uitsaaidiens,ezokusakaza,inkonzo yosasazo,tekusakata,zokurhatjha,tirelokgaso,tirelokgašo / tirelotlhagišomoyeng,tshebeletso ya kgaso,tshumelo ya khasho,vuhaxi,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_11,browser,leser / blaaier / rondblaaier,isiphequluli,isikhangelisi,siphenyi,isiphenyi,sephetlatsebe,praosara / lenaneonyako,thalotso,brausa,phurogireme ya nhlayiso / nongonoko-nhlayiso,,,,,,,,,,,,,,,,khomphyutheng,,,,,,
dsac_multilingual_ict_dictionary_12,byte,greep,isimumathalwazi,ibhayithi,mantjikane / ibhayithi / ibhithi,isikhadlanammumatho,tlhaka,ntsekana ya paete / paetana,baete,baithi,rito,,,,,,,,,,,,,,,,,,,,,,hi xikhompyuta
dsac_multilingual_ict_dictionary_13,cable,kabel,intambo kagesi / ikhebuli,intambo yombane / intambo yefoni / ikheyibhuli,ikhebuli,intambomlilo / ikheyibuli,mogala / kheibole,kheibole / kheipole,kheibole,khebuḽu,khebulu,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_14,CD / compact disc,CD / kompakskyf / laserskyf,icwecwe,icwecwe / icwecwe lomculo / icwecwe lolwazi,i-CD,i-CD,CD,CD,CD,CD,CD,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_15,cellphone / mobile phone,selfoon / sellulêre telefoon,umakhalekhukhwini / ucingoluphathwayo / iselula,iselula / iselfowuni / umafumaneka naphi / umathunyw’asabele,makhalekhikhini,umaliledinini / iselifoni / ufunjathwako,selefouno / selula,selfoune / selula / sele / sellathekeng,selefounu,luṱingothendeleki / luṱingokhwalwa / seḽefouni,selefoni / marila-nyongeni,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_16,cellular network,sellulêre netwerk,uhleloxhumano lomakhalekhukhwini / uhleloxhumano lwamaselula,uthungelwano lweselula / uthungelwano lukamafumaneka naphi / uqhagamshelwano lweselula / uqhagamshelwano lweselfowuni / uqhagamshelwano lukamathuny’wasabele,luhlelokuchumana lwabomakhalekhikhini / inethiwekhi yabomakhalekhikhini,ithungelelwano labofunjathwako / ithungelelwano labomaliledinini / ithungelelwano lamaselifoni,mafaratlhatlha a selula / kgokagano ka selula,kgokagano ya diselfoune / netweke ya diselfoune,marangrang a selula,vhuṱumanyi ha ṱhingothendeleki / vhuṱumanyi ha seḽefouni,vuhlanganisi bya tiselefoni / ntirhisano wa tiselefoni,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_17,cellular operator,sellulêre operateur,inkampani yomakhalekhukhwini / inkampani yamaselula,inkampani yeenkonzo zeselula / inkampani yeenkonzo zikamafumaneka naphi / inkampani yeenkonzo zeselfowuni / inkampani yeenkonzo zikamathunyw’asabele,inkampani yabomakhalekhikhini,ikhampani yabomaliledinini / ikhampani yabofunjathwako / ikhampani yamaselifoni,setlamo sa selula,moabaditirelo tša diselfoune,khampani ya selula / molaodi wa selula,tshumelo ya ṱhingokhwalwa / tshumelo ya ṱhingothendeleki / tshumelo ya seḽefouni,n’wa-tiselefoni,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_18,censorship,sensuur,inhlolakuhlunga / ukuhlolakuhlunga,ukuhluza / ukuvalela uluvo / ukungavumeli uluvo,luhlungo,ihlungobumbi,tlhotlho,tlhokolo,tshesefo / tlhokolo,vhunanguludzi / vhuthivheli,yiriso,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_19,channel,kanaal,isiteshi,ijelo,umgudvukusakata / ishaneli,isitetjhi sethelevitjhini / isitetjhi sikamabonwakude,tšhanele / seteišene / kanale,kanale / tšhanele,tjhanele / kanale,tshanele / tshiṱitshi,chanele / xitichi,,,,,,,,,,,,,,thelebišene,,,,,,,,
dsac_multilingual_ict_dictionary_20,commercial broadcasting service,kommersiële uitsaaidiens,isiteshi sokusakaza esincike enzuzweni / isiteshi esikhokhelwayo,inkonzo yosasazo exhaswa ngamashishini,umsakatoluhwebo,zokurhatjha burhweba,tirelokgasokgwebo,tirelokgašo ya tša kgwebo,tshebeletsokgaso ya tsa kgwebo,tshumelo ya khasho ya vhubindudzi / tshumelo ya khasho ya makwevho,vuhaxi-xibindzu,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_21,community broadcasting service,gemeenskapsuitsaaidiens,isiteshi sokusakaza sendawo,inkonzo yosasazo yengingqi,umsakato wesive / umsakato wemmango / umsakato wesigodzi,umrhatjho womzana,tirelokgasogae,tirelokgašo ya selegae,tshebeletsokgaso ya baahi / tshebeletsokgaso ya setjhaba,tshumelo ya khasho ya vhadzulapo,vuhaxi bya muganga,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_22,component,komponent,ingxenye,inxalenye / inxenye,incenye,ingcenye,karolo,karolowana,karolo / karolwana,tshipiḓa,xiphemu / xiako / xivumbo,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_23,computer,rekenaar,isiqoqelalwazi / ikhompuyutha,ikhompyutha,ngcondvomshini / ikhompuyutha,umtjhiningqondo / ikhomphiyutha,khomphiutha,khomphyutha / khomphiutha,khomphyutha,khomphyutha,khomphyuta / khomphyutara,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_24,consumer,gebruiker / verbruiker,umthengi,umthengi / umsebenzisi,umtsengi / umsebentisi,umthengi,modirisi,modiriši / mošomiši,mosebedisi / moreki,murengi,mutirhisa-xixaviwa,,,"van bv. dienste / van goedere wat opgebruik word, bv. voedsel",,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_25,cordless telephone,koordlose telefoon,ucingolungenantambo,ifoni engenantambo,lucingomoya,umtatommoya,mogalakopa,founu ya go se be le thapo / thelefomo ya go se be le thapo,founubokopa / mohalabokopa,luṱingotshayathambo / luṱingo lu si na thambo,riqingho ro ke ntambhu / riqingho-nkalantambhu,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_26,courier,koerier,isiphuthumisi,isigidimi,siphutfumisi,isirhabisi,khuria / morongwathoto,moromiwa wa dithoto,moromuwa / thometsane,khoriya / muendedzi,murhumiwa,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_27,cyber crime,kubermisdaad,ubugebengu ngohleloxhumano ngeziqoqelalwazi / ubugebengu ngohleloxhumano ngekhompuyutha,ulwaphulo mthetho lweintanethi / ubukrelemnqa kwezeintanethi,butulujane be-inthanethi,ubulelesi bethungelelwanohlanganiso,bosenyi ka Inthanete,bosenyi ka inthanete,tlolo ya molao ka inthanete / bosenyi ka inthanete,vhugevhenga nga inthanethe / vhutshinyi nga inthanethe,swiyilayila swa inthanete,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_28,cyber law,kuberwetgewing,umthetho wohleloxhumano ngesiqoqelalwazi / umthetho wohleloxhumano ngekhompuyutha,umthetho wezeintanethi,umtsetfo we-inthanethi,umthetho wethungelelwanohlanganiso,molao wa tirisointhanete,molaotšhomišo wa inthanete / molao wa inthanete,molao wa inthanete,mulayo wa inthanete,nawu wa inthanete,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_29,cyberspace,kuberruimte / kuberruim / netruimte,umhlaba ongenamkhawulo wezokuxhumana ngesiqoqelalwazi / umhlaba ongenamkhawulo wezokuxhumana ngekhompuyutha,uvimba wolwazi olukwi-intanethi,umkhatsiluchumano,ikundla yethungelelwanohlanganiso,sebakabaka sa Inthanete,sebakabaka sa inthanete / sebakaphihlelelo sa tshedimošo,sepakapaka sa inthanete,inthanethetshayamagumo / tshikhala tsha inthanethe,vuvandla bya inthanete,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_30,data,data,ulwazi olungahluziwe / imininingo / idatha,ulwazi olukwikhompyutha / iinkcukacha ezikwikhompyutha / ulwazi oluqokelelweyo,idatha,idatha / okunikelweko,tshedimosetso,tshedimošo / datha / deitha,datha / pokello ya dintlha,data / mafhungo o kuvhanganywaho,switiviwa,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_31,database,databasis,ulwazi olugciniwe / ulwazi olulondoloziwe / imininingo egciniwe,ulwazi olucwangcisiweyo olukwikhompyutha / idathabheyisi,silululwati / idathabhesi,iziko ledatha / iziko lokunikelweko / iziko lebuthelelolwazi,sefalanatshedimoso / deithabeisi,tshedimošohlopša,polokelo ya dintlha / sesiu,databeisi / tshiko tsha mafhungo o kuvhanganaho,nhlayisa-switiviwa,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_32,data capture,datavaslegging,ukuqoqela ulwazi,ufakelo-lwazi kwikhompyutha / ukufaka ulwazi kwikhompyutha,kufunta idathabhesi,ibuthelelo ledatha / ibuthelelo lokunikelweko,kokoanyodeitha / kokoanyotshedimoso,kgoboketšo ya tshedimošo / kgoboketšo ya datha / kgoboketšo ya deitha,pokeletso ya dintlha,vhufaradata / vhufaramafhungo,ndzhotela-switiviwa,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_33,decoder,dekodeerder,isiguquli / idikhoda,isiguquli maz’omoya / idikhowuda,sihlungi / idekhoda,ivulafihlo,seranodi,sefetoši sa maphoto,dikhoda / sefetoledi,dikhoda,mpaluxana,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_34,desktop,werkskerm,ubuso besiqoqelalwazi / ubuso bekhompuyutha,indawo enezikhombisi zeenkqubo zekhompyutha / ubuso bekhompyutha,buso bangcondvomshini,ikombamahlelo,sefatlhatirelo,sefahlego sa khomphyutha / sefahlego sa khomphiutha / teskthopo / deskthopo,sefahleho,khomphyutha ine ya vhewa kha desike / deskithopho,xikirini,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_35,digital,digitaal,-zinombolo,ulwazi olungamanani,-dijithali,-nomboro,tshedimosetsopalo,tshedimošo ka sebopego sa dipalo / titšithale,dijithale / e bopilweng ka dipalo,didzhithaḽa,xa xidijiti,adjective,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_36,digital camera,digitale kamera,isithwebuli esisebenza ngezinombolo / ikhamera esebenza ngezinombolo,ikhamera yamanani / isithatha-mfanekiso seenombolo,sitfwebulidijithali,isithombenomboro,setsaya ditshwantshopalo / khemerapalo,setšeaswantšho sa titšithale / khamera ya titšithale,khamera ya dijithale,khamera ya didzhithaḽa,khameraxidijiti,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_37,directory,gids / lêergids,inkomba ekusiqoqelalwazi / inkomba ekukhompuyutha,isikhokeli esisisigcini-lwazi,silayeli,isiphathimafayili / ikomba,faelekaedi,tšhupadifaele,tatellano ya difaele,dairekhthri / ndaedzaṱhingo,nkwama,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_38,DVD / digital versatile disc,digitale videoskyf / DVD,icwecwe eligcina ulwazi ngohlelo nombolo / idividi,icwecwe lolwazi oluphangaleleyo / idividi,i-DVD,idiskinomboro yobutjhugululolula / idividi,DVD / papetlagotlhe,tiski ya modumopono ya titšithale,DVD,DVD / disikinyitazwoṱhe ya didzhithala,divhidi,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_39,e-commerce,e-handel,uhwebo ngohleloxhumano,unaniselwano ngeintanethi / intengiselwano ngeintanethi / urhwebo ngeintanethi,luhwebo lwe-elekthronikhi,irhwebo nge-inthanethi,theko ka inthanete,kgwebišano ka inthanete,kgwebo ya elektroniki,bindu nga eḽekṱhroniki / makwevho nga eḽekṱhroniki,vubindzu-xiinthanete / bindzu-xitironiki,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_40,e-government services,e-regeringsdienste,ukuthola usizo lukahulumeni ngohleloxhumano,iinkonzo zikarhulumente ngeintanethi,lusitohulumende lwe-elekthronikhi,imisebenzi yombuso ngethungelelwanohlanganiso / imisebenzi yombuso ngeinthanethi,ditirelopuso ka Inthanete,ditirelo tša pušo ka inthanete,ditshebeletso tsa mmuso ka elektroniki,tshumelo dza muvhuso nga elekthroniki,nkorhokela-mfumo xitironiki,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_41,e-learning,e-leer,ukufunda ngohleloxhumano,ukufunda kusetyenziswa i-intanethi,kufundza nge-elekthronikhi,ukufunda ngethungelelwanohlanganiso / ukufunda nge-inthanethi,ithuto ka Inthanete,boithuti ka inthanete,boithuti ka elektroniki,vhugudi nga eḽekṱhroniki,ndzetelo-xitironiki,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_42,electronic advertising,elektroniese reklame / elektroniese advertering,ukukhangisa ngohleloxhumano,intengiso ngeintanethi,kukhangisa nge-elekthronikhi,ukukhangisa ngethungelelwanohlanganiso / ukukhangisa nge-inthanethi,papatsoseileketeroniki,papatšo ka elekhtroniki,papatso ka elektroniki,khungedzelo nga elekṱhroniki,vunavetisi-xitironiki,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_43,electronic media,elektroniese media,ezokuxhumana ngobuchwepheshe bomoya,iindaba ngosasazo / amajelo osasazo,tisabalalisi te-elekthronikhi,iimbiki ezirhatjhako,tlhaeletsanoseileketeroniki,kgašo ya elektroniki,diphatlalatso ka elektroniki,nyanḓadzamafhungo nga elekṱhroniki,swifambisa-mahungu xitironiki,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_44,electronic transaction,elektroniese transaksie,ukuthengiselana ngohleloxhumano,unaniselwano ngeintanethi / intengiselwano ngeintanethi / unaniselwano ngekhompyutha / intengiselwano ngekhompyutha,kubhizinisa nge-elekthronikhi,ithengiselwano bu-elekthroniki,kgwebisanoseileketeroniki,kgwebišano ka elektroniki,kgwebisano ka elektroniki,mbadelo nga eḽekṱhroniki,nxaviselano-xitironiki,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_45,e-literacy,e-geletterdheid,ulwazi ngesiqoqelalwazi / ulwazi ngekhompuyutha,ulwazi lokusebenzisa ikhompyutha,kwati nge-elekthronikhi,ilwazi lekhomphiyutha / ilwazi lomtjhiningqondo,bokgoni jwa khomphiutha,tsebotirišo ya khomphyutha / tsebotirišo ya khomphiutha,tsebo ya elektroniki,vhukonakhomphyutha,vutiva-khomphyuta / vutiva-khomphyutara,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_46,email / mail / electronic mail,e-pos / elektroniese pos,umbikombani / isiqoqelalwazimbiko / iposisiqoqelalwazi / i-imeyili,unxibelelwano ngamaz’omoya / i-imeyili,liposi,umbiko ngethungelelwanohlanganiso / umbiko nge-inthanethi,kwalelano ka inthanete / imeile,molaetša ka elekthroniki,imeile / poso ka elektroniki,poswo nga eḽekthronic / emeiḽi,imeyili / poso-xitironiki,noun,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_47,email / mail,e-pos,-thumela ngombikombani / -thumela ngesiqoqelalwazimbiko / -thumela ngeposisiqoqelalwazi / -thumela nge-imeyili,ukuthumela imbalelwano ngeimeyili / ukuthumela i-imeyili / ukuimeyila,imeyila,bika ngethungelelwanohlanganiso / imeyila,posa ka inthanete / -romela ka inthanete / imeila,romela molaetša ka elekhtroniki,posa / imeila,-imeiḽa / -rumela / -posa,imeyila / rhumela / posa,verb,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_48,e-readiness,e-gereedheid,ukulungela ukusebenza ngesiqoqelalwazi / ukulungela ukusebenza ngekhompuyutha,elungele usetyenziso lwekhompyutha,kulungela i-elekthronikhi,ukulungela ihlelo lobuelekthroniki,tshiamelotiriso ya seileketeroniki,maemo a go lokela tšhomišo ya dikhomphyutha / maemo a go lokela tšhomišo ya dikhomphiutha,boemotshebediso ba elektroniki,vhulugela-zwa-eḽekṱhroniki,ndzulamela-xitironiki / ndzhunghekela-xitironiki,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_49,free-to-air service,gratis uitsaaidiens,ukusakazelwa okungakhokhelwa,inkonzo yosasazo engahlawulelwayo,lusakatomahhala / lusakato lolungakhokhelwa,irhatjhelo simahla / irhatjhelo mahala,kgasosesolo / tirelokgasosesolo,tirelokgašo ya go se lefelwe,tshebeletso ya mahala ya kgaso,tshumelo ya khasho ya mahala,vuhaxi bya mahala,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_50,frequency,frekwensie,isiteshi esisakaza ngomoya,isitishi samaz’omoya,siteshimsakato,isitetjhi sommoya,lekhubu,morethetommoetša wa maphotho,leqhubu,frikhwentsi,xihondzo,,broadcasting,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_51,hardware,apparatuur / hardeware,ingxenyezakhi zesiqoqelalwazi / ingxenyezakhi zekhompuyutha,ubuxhakaxhaka bekhompyutha,takhi tangcondvomshini / ticucu tangcondvomshini,ingaphandlengqondomtjhini,karolotshwarwa,ditlabakelo tša khomphyutha / ditlabakelo tša khomphiutha / hatewee ya khomphyutha / hatewee ya khomphiutha,dithata,hadiwee / zwivhumbakhomphyutha,swikhedzakhedza,,,,,,,,,,,,,,,,,,,,,,swa khomphyuta
dsac_multilingual_ict_dictionary_52,home page,tuisblad,ikhasi lokuqala lokuxhumana,isiqalelo-phepha / iphepha lesiqulatho,likhasisendvulelo / likhasisisekelo / likhasisendlalelo,ikhasisendlalelo / ikhasimkhaya,tsebekgoroso,letlakala la matsenagae,leqephe la lapeng / leqephe la bokeno,siaṱarimvulelwa / hompheidzhi,pheji-xikaya,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_53,information communication technology / ICT,inligtingskommunikasietegnologie / IKT,ulwazi lwezobuchwepheshe kwezokuxhumana,ubuchwepheshe bolwazi nonxibelelwano,ithekhinoloji yelwati lwetekuchumana,itheknoloji yelwazithintano,thekenoloji ya tshedimosetsotlhaeletsano,theknolotši ya tshedimošo le kgokagano,theknoloji ya lesedi le dikgokahano / TLD,ICT / thekhnoḽodzhi ya vhudavhidzani,ICT / xifambisa-hungu,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_54,information superhighway,inligtingsnelweg / supersnelweg,uhleloxhumano olusabalele / uhleloxhumano oluvulelekile,ucingolwekhompyutha olukhawulezayo,luhlelochumano lolusembili,ihlelothintano elidephileko / uthelalise wehlelothintano,tselafefogadi ya tshedimosetso,tshepedišobjako ya tshedimošo,motjhamoholo wa lesedi,nyendedzoṱhavhanyedza / nyendedzo ya tshihaḓu ya khomphyutha,vufambisamahungu-xitironiki,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_55,infrastructure,infrastruktuur,ingqalasizinda,izinxibelelanisi zeekhompyutha,sakhiwonchanti,umthangalasisekelo,mafaratlhatlha,lenaneokgoparara,moralo wa theknoloji / moralo wa motheo,themamveledziso ya vhuṱumanyi ya khomphyutha,switirhisiwa,,,,,,kwezokuxhumana,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_56,input,toevoer / inset,ulwazi olufakiwe,iinkcukacha ezifakiweyo,lufuntolwati,okufakwako / ifakelo,setsenngwa / tshedimosetsotsenngwa,tshedimošo ka khomphyutheng / tshedimošo ka khomphiutheng,lehlahlelo / phepelo,mafhungodzheniswa / zwiengedzwa,xinghenisiwa,noun,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_57,input,toevoer / invoer,-faka ulwazi,ukufaka iinkcukacha,funta lwati,faka / fakela,-tsenya tshedimosetso,tsenya tshedimošo khomphyutheng / tsenya tshedimošo khomphiutheng,hlahlela / fepela,-dzhenisa mafhungo / -engedza mafhungo,nghenisa,verb,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_58,install,installeer,-xhuma / -faka,ukufakela,faka,-faka,gokela / tsenya,beakanya / hloma,kgwesa / kenya,kwea,ku nghenisa,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_59,installation,installering / installasie,ukuxhuma / ukufaka,ufakelo,kufaka,ukufaka,kgokelo / tsenyo,go beakanya / go hloma,kgweso / ho kenya,u kwea / khweo,ngheniso,,,,,,,,,,,,,,,,,,,,,,
